time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,sm_util,gmem_util,sm_util_active,gmem_util_active,gpu_utilization
13219200,1064,1064,0,0,0,0,133,0,0,0,0,0,0,0.0
13219260,1064,1064,0,0,0,0,133,0,0,0,0,0,0,0.0
13219320,1064,1056,0,1,0,0,133,1,0,0,0,0,0,0.008
13219380,1064,1024,0,2,0,0,133,5,0,14,1048,33,2358,0.038
13219440,1064,1024,0,2,0,0,133,5,0,14,1048,33,2358,0.038
13219500,1064,1024,0,2,0,0,133,5,0,14,1048,33,2358,0.038
13219560,1064,1024,0,2,0,0,133,5,0,14,1048,33,2358,0.038
13219620,1064,1052,0,2,0,0,133,2,0,0,0,0,0,0.011
13219680,1064,1020,0,3,0,0,133,6,0,2,3100,5,6976,0.041
13219740,1064,1052,0,2,0,0,133,2,0,0,0,0,0,0.011
13219800,1064,1020,0,3,0,0,133,6,0,2,2014,6,4532,0.041
13219860,1064,1020,0,3,0,0,133,6,0,3,4655,8,10474,0.041
13219920,1064,1020,0,3,0,0,133,6,0,3,4655,8,10474,0.041
13219980,1064,1024,0,2,0,0,133,5,0,3,4655,8,10474,0.038
13220040,1064,1024,0,2,0,0,133,5,0,2,2014,6,4532,0.038
13220100,1064,1016,0,3,0,0,133,6,0,2,2014,6,4532,0.045
13220160,1064,1016,0,3,0,0,133,6,0,2,2014,6,4532,0.045
13220220,1064,1016,0,3,0,0,133,6,0,2,2014,6,4532,0.045
13220280,1064,1016,0,3,0,0,133,6,0,2,2014,6,4532,0.045
13220340,1064,1016,0,3,0,0,133,6,0,2,2014,6,4532,0.045
13220400,1064,1016,0,3,0,0,133,6,0,2,2014,6,4532,0.045
13220460,1064,1024,0,2,0,0,133,5,0,2,2014,6,4532,0.038
13220520,1064,1024,0,2,0,0,133,5,0,2,2014,6,4532,0.038
13220580,1064,1024,0,2,0,0,133,5,0,2,2014,6,4532,0.038
13220640,1064,1016,0,3,0,0,133,6,0,2,2014,6,4532,0.045
13220700,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13220760,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13220820,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13220880,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13220940,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221000,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221060,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221120,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221180,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221240,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221300,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221360,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221420,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221480,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221540,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221600,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221660,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221720,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221780,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221840,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221900,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13221960,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222020,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222080,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222140,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222200,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222260,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222320,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222380,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222440,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222500,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222560,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222620,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222680,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222740,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222800,1064,1016,0,3,0,0,133,6,0,9,967,20,2176,0.045
13222860,1064,1010,0,6,0,0,133,6,1,17,2240,36,4796,0.051
13222920,1064,1010,0,6,0,0,133,6,1,17,2240,36,4796,0.051
